=== Batch Scene Capture ===
[165/1971] fractal_recursive_tree - capturing... OK
[166/1971] stochastic_tree_separated - capturing... OK
[167/1971] fractal_stochastic_tree - capturing... OK
[168/1971] fractal_lsystem_string - capturing... OK
[169/1971] fractal_lsystem_tree - capturing... OK
[170/1971] fibonacci_sequences - capturing... OK
[171/1971] fibonacci_terrain - capturing... OK
[172/1971] fractal_clouds - capturing... OK
[173/1971] golden_rectangle - capturing... OK
[174/1971] julia_set - capturing... OK
[175/1971] koch_curve - capturing... OK
[176/1971] koch_curve_1 - capturing... OK
[177/1971] koch_curve_3d - capturing... OK
    --- Progress: 150 captured, 2 failed, ~156 min remaining ---
[178/1971] lsystem_dungeon - capturing... OK
[179/1971] mandelbrot_set - capturing... OK
[180/1971] menger_sponge - capturing... OK
[181/1971] fractal_scene - capturing... OK
[182/1971] fibonacci_pagoda - capturing... OK
[183/1971] recursive_boolean_cube - capturing... OK
[184/1971] inverted_tree_cloud - capturing... OK
[185/1971] recursive_tree - capturing... OK
[186/1971] recursive_tree_2 - capturing... OK
[187/1971] romanesco - capturing... OK
[188/1971] SierpinskiPyramid - capturing... OK
[190/1971] sierpinski_triangle - capturing... OK
[191/1971] edmonds_algorithm - capturing... OK
[192/1971] force_directed_layout - capturing... OK
[193/1971] forcedirected3d - capturing... OK
[194/1971] konigsberg_bridge - capturing... OK
[195/1971] graphspace - capturing... OK
[196/1971] graphspace3d - capturing... OK
[197/1971] KonigsbergBridge - capturing... OK
[198/1971] karger_algorithm - capturing... OK
[199/1971] kosaraju_algorithm - capturing... OK
[200/1971] mst_visualization - capturing... OK
[201/1971] network_analysis - capturing... OK
[202/1971] network_flow_visualization - capturing... OK
[203/1971] networkflow3d - capturing... OK
[204/1971] pathfinding_visualization - capturing... OK
[205/1971] pathfinding3d - capturing... OK
[206/1971] push_relabel_algorithm - capturing... OK
[207/1971] tarjan_algorithm - capturing... OK
[208/1971] topological_sort_algorithm - capturing... OK
[209/1971] PendulumPin - capturing... OK
[210/1971] DoublePendulum - capturing... OK
[211/1971] HingeCrank - capturing... OK
[212/1971] SpringSuspension - capturing... OK
[213/1971] ConeTwistBag - capturing... OK
[214/1971] ChainSwing - capturing... OK
[215/1971] CharacterRagdoll - capturing... OK
[216/1971] DrawbridgeHinge - capturing... OK
[217/1971] GimbalStabilizer - capturing... OK
[218/1971] tscn_joint - capturing... OK
[219/1971] CityGenerator - capturing... OK
[220/1971] ContextSensitiveTree - capturing... OK
[221/1971] ForestCompetition - capturing... OK
[222/1971] AnimatedTree - capturing... OK
[223/1971] Hilbert3D - capturing... OK
[224/1971] context_free_grammars - capturing... OK
[225/1971] lsystem_tree - capturing... OK
[226/1971] lstms - capturing... OK
[227/1971] lstms_vr - capturing... OK
[228/1971] anomaly_detection - capturing... OK
    --- Progress: 200 captured, 2 failed, ~141 min remaining ---
[229/1971] attention_mechanisms - capturing... OK
[230/1971] evolved_creatures - capturing... OK
[232/1971] clustering_algorithms - capturing... OK
[233/1971] computer_vision_vr - capturing... OK
[234/1971] computer_vision - capturing... OK
[235/1971] convolutional_neural_networks_cnns_vr - capturing... OK
[236/1971] convolutional_neural_networks - capturing... OK
[237/1971] dimensionality_reduction - capturing... OK
[238/1971] ensemble_methods - capturing... OK
[239/1971] evolutionary_algorithms - capturing... OK
[240/1971] evolvingflowers - capturing... OK
[241/1971] explainable_ai_xai_vr - capturing... OK
[242/1971] explainable_ai - capturing... OK
[243/1971] feature_engineering - capturing... OK
[244/1971] fine_tuning_vr - capturing... OK
[245/1971] shape_learner_2d - capturing... OK
[246/1971] generative_adversarial_networks_gans_vr - capturing... OK
[247/1971] gans - capturing... OK
[248/1971] genetic_algorithm - capturing... FAIL (timeout)
[249/1971] gradient_descent_visualization - capturing... OK
[250/1971] enhanced_kmeans - capturing... OK
[251/1971] nlp - capturing... OK
[252/1971] neural_networks_vr - capturing... OK
[253/1971] neural_networks - capturing... OK
[254/1971] neural_network_visualization - capturing... OK
[255/1971] 9_3_smart_rockets_vr - capturing... OK
[256/1971] 9_5_evolving_bloops_vr - capturing... OK
[257/1971] optimization_algorithms - capturing... OK
[258/1971] pca_visualization - capturing... OK
[259/1971] random_forest_visualization - capturing... OK
[260/1971] random_walker_machine - capturing... OK
[261/1971] recommendation_systems - capturing... OK
[262/1971] reinforcement_learning - capturing... OK
[263/1971] joint_learn_walk - capturing... OK
[264/1971] shape_learner_3d - capturing... OK
[265/1971] spotlight_attention - capturing... OK
[266/1971] learn_world_stacked - capturing... OK
[267/1971] svm_visualization - capturing... OK
[268/1971] switchboard_attention - capturing... OK
